mixed_id,file_path,media_type,true_label,true_label_name,source_label,source_label_name,source_split,actual_media_type
33,/content/drive/MyDrive/skripsi/dataset_video/real/003995_Real_003995.mp4,video,0,Real,0,Real,video_test,video
34,/content/drive/MyDrive/skripsi/dataset_image/real/000006_001344.jpg,image,0,Real,0,Real,image_binary_input,image
35,/content/drive/MyDrive/skripsi/dataset_image/real/002703_001856.jpg,image,0,Real,0,Real,image_binary_input,image
36,/content/drive/MyDrive/skripsi/dataset_image/tampered/000265_003250.jpg,image,1,Fake,2,Tampered,image_binary_input,image
37,/content/drive/MyDrive/skripsi/dataset_image/tampered/000445_000527.jpg,image,1,Fake,2,Tampered,image_binary_input,image
38,/content/drive/MyDrive/skripsi/dataset_video/real/002662_Real_002662.mp4,video,0,Real,0,Real,video_test,video
39,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000483_001590.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
40,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000050_TI2V_000050.mp4,video,1,Fake,1,Fake,video_test,video
41,/content/drive/MyDrive/skripsi/dataset_image/real/000235_000449.jpg,image,0,Real,0,Real,image_binary_input,image
42,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000333_Interpolation_000333.mp4,video,1,Fake,1,Fake,video_test,video
43,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000051_Faceswap_000051.mp4,video,1,Fake,1,Fake,video_test,video
44,/content/drive/MyDrive/skripsi/dataset_video/real/004259_Real_004259.mp4,video,0,Real,0,Real,video_test,video
45,/content/drive/MyDrive/skripsi/dataset_image/real/001954_002066.jpg,image,0,Real,0,Real,image_binary_input,image
46,/content/drive/MyDrive/skripsi/dataset_image/tampered/000014_000879.jpg,image,1,Fake,2,Tampered,image_binary_input,image
47,/content/drive/MyDrive/skripsi/dataset_image/real/000657_000059.jpg,image,0,Real,0,Real,image_binary_input,image
48,/content/drive/MyDrive/skripsi/dataset_image/real/002699_000510.jpg,image,0,Real,0,Real,image_binary_input,image
49,/content/drive/MyDrive/skripsi/dataset_video/real/003974_Real_003974.mp4,video,0,Real,0,Real,video_test,video
50,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002994_003306.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
51,/content/drive/MyDrive/skripsi/dataset_image/real/001548_000142.jpg,image,0,Real,0,Real,image_binary_input,image
52,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000275_TI2V_000275.mp4,video,1,Fake,1,Fake,video_test,video
53,/content/drive/MyDrive/skripsi/dataset_video/real/000761_Real_000761.mp4,video,0,Real,0,Real,video_test,video
54,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000886_001132.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
55,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001456_001738.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
56,/content/drive/MyDrive/skripsi/dataset_image/tampered/002377_001573.jpg,image,1,Fake,2,Tampered,image_binary_input,image
57,/content/drive/MyDrive/skripsi/dataset_image/real/000981_003028.jpg,image,0,Real,0,Real,image_binary_input,image
58,/content/drive/MyDrive/skripsi/dataset_image/real/002781_000114.jpg,image,0,Real,0,Real,image_binary_input,image
59,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000361_Extrapolation_000361.mp4,video,1,Fake,1,Fake,video_test,video
60,/content/drive/MyDrive/skripsi/dataset_image/real/003064_000488.jpg,image,0,Real,0,Real,image_binary_input,image
61,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000265_003250.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
62,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002377_001573.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
63,/content/drive/MyDrive/skripsi/dataset_image/real/002769_001571.jpg,image,0,Real,0,Real,image_binary_input,image
64,/content/drive/MyDrive/skripsi/dataset_video/real/003298_Real_003298.mp4,video,0,Real,0,Real,video_test,video
65,/content/drive/MyDrive/skripsi/dataset_image/real/003222_002695.jpg,image,0,Real,0,Real,image_binary_input,image
66,/content/drive/MyDrive/skripsi/dataset_image/real/000907_001391.jpg,image,0,Real,0,Real,image_binary_input,image
67,/content/drive/MyDrive/skripsi/dataset_video/real/003977_Real_003977.mp4,video,0,Real,0,Real,video_test,video
68,/content/drive/MyDrive/skripsi/dataset_video/real/003936_Real_003936.mp4,video,0,Real,0,Real,video_test,video
69,/content/drive/MyDrive/skripsi/dataset_image/real/003178_001038.jpg,image,0,Real,0,Real,image_binary_input,image
70,/content/drive/MyDrive/skripsi/dataset_image/real/001431_001925.jpg,image,0,Real,0,Real,image_binary_input,image
71,/content/drive/MyDrive/skripsi/dataset_video/real/003954_Real_003954.mp4,video,0,Real,0,Real,video_test,video
72,/content/drive/MyDrive/skripsi/dataset_video/real/001996_Real_001996.mp4,video,0,Real,0,Real,video_test,video
73,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001715_000915.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
74,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002877_003255.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
75,/content/drive/MyDrive/skripsi/dataset_video/real/004291_Real_004291.mp4,video,0,Real,0,Real,video_test,video
76,/content/drive/MyDrive/skripsi/dataset_image/real/002884_000046.jpg,image,0,Real,0,Real,image_binary_input,image
77,/content/drive/MyDrive/skripsi/dataset_image/real/002129_000236.jpg,image,0,Real,0,Real,image_binary_input,image
78,/content/drive/MyDrive/skripsi/dataset_image/real/000312_000839.jpg,image,0,Real,0,Real,image_binary_input,image
79,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000068_Extrapolation_000068.mp4,video,1,Fake,1,Fake,video_test,video
80,/content/drive/MyDrive/skripsi/dataset_video/real/000674_Real_000674.mp4,video,0,Real,0,Real,video_test,video
81,/content/drive/MyDrive/skripsi/dataset_image/real/000863_000276.jpg,image,0,Real,0,Real,image_binary_input,image
82,/content/drive/MyDrive/skripsi/dataset_image/tampered/002490_002261.jpg,image,1,Fake,2,Tampered,image_binary_input,image
83,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000472_Faceswap_000472.mp4,video,1,Fake,1,Fake,video_test,video
84,/content/drive/MyDrive/skripsi/dataset_video/real/001870_Real_001870.mp4,video,0,Real,0,Real,video_test,video
85,/content/drive/MyDrive/skripsi/dataset_image/real/000806_000807.jpg,image,0,Real,0,Real,image_binary_input,image
86,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000077_002985.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
87,/content/drive/MyDrive/skripsi/dataset_video/real/000049_Real_000049.mp4,video,0,Real,0,Real,video_test,video
88,/content/drive/MyDrive/skripsi/dataset_video/real/000809_Real_000809.mp4,video,0,Real,0,Real,video_test,video
89,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000089_TI2V_000089.mp4,video,1,Fake,1,Fake,video_test,video
90,/content/drive/MyDrive/skripsi/dataset_video/real/001670_Real_001670.mp4,video,0,Real,0,Real,video_test,video
91,/content/drive/MyDrive/skripsi/dataset_image/tampered/001877_000217.jpg,image,1,Fake,2,Tampered,image_binary_input,image
92,/content/drive/MyDrive/skripsi/dataset_image/real/003321_002135.jpg,image,0,Real,0,Real,image_binary_input,image
93,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000615_Interpolation_000615.mp4,video,1,Fake,1,Fake,video_test,video
94,/content/drive/MyDrive/skripsi/dataset_video/real/002964_Real_002964.mp4,video,0,Real,0,Real,video_test,video
95,/content/drive/MyDrive/skripsi/dataset_image/real/000372_000486.jpg,image,0,Real,0,Real,image_binary_input,image
96,/content/drive/MyDrive/skripsi/dataset_image/real/000604_002629.jpg,image,0,Real,0,Real,image_binary_input,image
97,/content/drive/MyDrive/skripsi/dataset_image/real/002287_002493.jpg,image,0,Real,0,Real,image_binary_input,image
98,/content/drive/MyDrive/skripsi/dataset_video/real/002876_Real_002876.mp4,video,0,Real,0,Real,video_test,video
99,/content/drive/MyDrive/skripsi/dataset_image/real/000136_002348.jpg,image,0,Real,0,Real,image_binary_input,image
100,/content/drive/MyDrive/skripsi/dataset_video/real/001205_Real_001205.mp4,video,0,Real,0,Real,video_test,video
101,/content/drive/MyDrive/skripsi/dataset_image/tampered/001010_000456.jpg,image,1,Fake,2,Tampered,image_binary_input,image
102,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000004_Interpolation_000004.mp4,video,1,Fake,1,Fake,video_test,video
103,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000510_Outpainting_000510.mp4,video,1,Fake,1,Fake,video_test,video
104,/content/drive/MyDrive/skripsi/dataset_image/real/000541_001517.jpg,image,0,Real,0,Real,image_binary_input,image
105,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001015_002177.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
106,/content/drive/MyDrive/skripsi/dataset_image/real/002810_000496.jpg,image,0,Real,0,Real,image_binary_input,image
107,/content/drive/MyDrive/skripsi/dataset_video/fake/Inpainting/000487_Inpainting_000487.mp4,video,1,Fake,1,Fake,video_test,video
108,/content/drive/MyDrive/skripsi/dataset_image/real/001704_002659.jpg,image,0,Real,0,Real,image_binary_input,image
109,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000003_Interpolation_000003.mp4,video,1,Fake,1,Fake,video_test,video
110,/content/drive/MyDrive/skripsi/dataset_image/real/002649_002094.jpg,image,0,Real,0,Real,image_binary_input,image
111,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000536_Outpainting_000536.mp4,video,1,Fake,1,Fake,video_test,video
112,/content/drive/MyDrive/skripsi/dataset_image/real/001805_002697.jpg,image,0,Real,0,Real,image_binary_input,image
113,/content/drive/MyDrive/skripsi/dataset_image/tampered/000412_001874.jpg,image,1,Fake,2,Tampered,image_binary_input,image
114,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000711_001034.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
115,/content/drive/MyDrive/skripsi/dataset_image/real/002450_002757.jpg,image,0,Real,0,Real,image_binary_input,image
116,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000080_Extrapolation_000080.mp4,video,1,Fake,1,Fake,video_test,video
117,/content/drive/MyDrive/skripsi/dataset_image/real/003325_000466.jpg,image,0,Real,0,Real,image_binary_input,image
118,/content/drive/MyDrive/skripsi/dataset_image/tampered/001160_003315.jpg,image,1,Fake,2,Tampered,image_binary_input,image
119,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000488_Faceswap_000488.mp4,video,1,Fake,1,Fake,video_test,video
120,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000262_Extrapolation_000262.mp4,video,1,Fake,1,Fake,video_test,video
121,/content/drive/MyDrive/skripsi/dataset_video/real/003396_Real_003396.mp4,video,0,Real,0,Real,video_test,video
122,/content/drive/MyDrive/skripsi/dataset_video/real/002776_Real_002776.mp4,video,0,Real,0,Real,video_test,video
123,/content/drive/MyDrive/skripsi/dataset_image/real/001316_002013.jpg,image,0,Real,0,Real,image_binary_input,image
124,/content/drive/MyDrive/skripsi/dataset_image/real/001502_002512.jpg,image,0,Real,0,Real,image_binary_input,image
125,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000325_Faceswap_000325.mp4,video,1,Fake,1,Fake,video_test,video
126,/content/drive/MyDrive/skripsi/dataset_video/real/003300_Real_003300.mp4,video,0,Real,0,Real,video_test,video
127,/content/drive/MyDrive/skripsi/dataset_video/real/001083_Real_001083.mp4,video,0,Real,0,Real,video_test,video
128,/content/drive/MyDrive/skripsi/dataset_video/real/004559_Real_004559.mp4,video,0,Real,0,Real,video_test,video
129,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002853_000559.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
130,/content/drive/MyDrive/skripsi/dataset_video/real/003987_Real_003987.mp4,video,0,Real,0,Real,video_test,video
131,/content/drive/MyDrive/skripsi/dataset_image/real/000703_000233.jpg,image,0,Real,0,Real,image_binary_input,image
132,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000010_Faceswap_000010.mp4,video,1,Fake,1,Fake,video_test,video
133,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000059_Faceswap_000059.mp4,video,1,Fake,1,Fake,video_test,video
134,/content/drive/MyDrive/skripsi/dataset_image/tampered/001941_001463.jpg,image,1,Fake,2,Tampered,image_binary_input,image
135,/content/drive/MyDrive/skripsi/dataset_image/real/001365_000690.jpg,image,0,Real,0,Real,image_binary_input,image
136,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000547_001575.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
137,/content/drive/MyDrive/skripsi/dataset_image/real/001129_002112.jpg,image,0,Real,0,Real,image_binary_input,image
138,/content/drive/MyDrive/skripsi/dataset_video/real/004790_Real_004790.mp4,video,0,Real,0,Real,video_test,video
139,/content/drive/MyDrive/skripsi/dataset_image/real/001347_002181.jpg,image,0,Real,0,Real,image_binary_input,image
140,/content/drive/MyDrive/skripsi/dataset_video/real/001020_Real_001020.mp4,video,0,Real,0,Real,video_test,video
141,/content/drive/MyDrive/skripsi/dataset_image/real/002115_001401.jpg,image,0,Real,0,Real,image_binary_input,image
142,/content/drive/MyDrive/skripsi/dataset_video/real/004165_Real_004165.mp4,video,0,Real,0,Real,video_test,video
143,/content/drive/MyDrive/skripsi/dataset_image/real/000555_000177.jpg,image,0,Real,0,Real,image_binary_input,image
144,/content/drive/MyDrive/skripsi/dataset_image/real/001540_000008.jpg,image,0,Real,0,Real,image_binary_input,image
145,/content/drive/MyDrive/skripsi/dataset_video/real/004520_Real_004520.mp4,video,0,Real,0,Real,video_test,video
146,/content/drive/MyDrive/skripsi/dataset_image/real/002850_000703.jpg,image,0,Real,0,Real,image_binary_input,image
147,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000194_Faceswap_000194.mp4,video,1,Fake,1,Fake,video_test,video
148,/content/drive/MyDrive/skripsi/dataset_image/tampered/000108_003136.jpg,image,1,Fake,2,Tampered,image_binary_input,image
149,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000079_Faceswap_000079.mp4,video,1,Fake,1,Fake,video_test,video
150,/content/drive/MyDrive/skripsi/dataset_video/real/002427_Real_002427.mp4,video,0,Real,0,Real,video_test,video
151,/content/drive/MyDrive/skripsi/dataset_video/fake/Change_of_style/000014_Change_of_style_000014.mp4,video,1,Fake,1,Fake,video_test,video
152,/content/drive/MyDrive/skripsi/dataset_video/real/004233_Real_004233.mp4,video,0,Real,0,Real,video_test,video
153,/content/drive/MyDrive/skripsi/dataset_video/real/002466_Real_002466.mp4,video,0,Real,0,Real,video_test,video
154,/content/drive/MyDrive/skripsi/dataset_image/real/002959_000606.jpg,image,0,Real,0,Real,image_binary_input,image
155,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000240_TI2V_000240.mp4,video,1,Fake,1,Fake,video_test,video
156,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000498_TI2V_000498.mp4,video,1,Fake,1,Fake,video_test,video
157,/content/drive/MyDrive/skripsi/dataset_image/real/000077_000134.jpg,image,0,Real,0,Real,image_binary_input,image
158,/content/drive/MyDrive/skripsi/dataset_image/real/002331_002136.jpg,image,0,Real,0,Real,image_binary_input,image
159,/content/drive/MyDrive/skripsi/dataset_image/real/000881_003012.jpg,image,0,Real,0,Real,image_binary_input,image
160,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001626_002269.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
161,/content/drive/MyDrive/skripsi/dataset_image/real/001416_000065.jpg,image,0,Real,0,Real,image_binary_input,image
162,/content/drive/MyDrive/skripsi/dataset_video/fake/Faceswap/000585_Faceswap_000585.mp4,video,1,Fake,1,Fake,video_test,video
163,/content/drive/MyDrive/skripsi/dataset_video/real/003699_Real_003699.mp4,video,0,Real,0,Real,video_test,video
164,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000124_002102.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
165,/content/drive/MyDrive/skripsi/dataset_image/tampered/000410_002743.jpg,image,1,Fake,2,Tampered,image_binary_input,image
166,/content/drive/MyDrive/skripsi/dataset_video/real/000633_Real_000633.mp4,video,0,Real,0,Real,video_test,video
167,/content/drive/MyDrive/skripsi/dataset_video/fake/Change_of_style/000461_Change_of_style_000461.mp4,video,1,Fake,1,Fake,video_test,video
168,/content/drive/MyDrive/skripsi/dataset_video/real/003124_Real_003124.mp4,video,0,Real,0,Real,video_test,video
169,/content/drive/MyDrive/skripsi/dataset_image/tampered/002003_000401.jpg,image,1,Fake,2,Tampered,image_binary_input,image
170,/content/drive/MyDrive/skripsi/dataset_image/tampered/001464_003058.jpg,image,1,Fake,2,Tampered,image_binary_input,image
171,/content/drive/MyDrive/skripsi/dataset_video/real/003088_Real_003088.mp4,video,0,Real,0,Real,video_test,video
172,/content/drive/MyDrive/skripsi/dataset_image/real/001964_000413.jpg,image,0,Real,0,Real,image_binary_input,image
173,/content/drive/MyDrive/skripsi/dataset_image/real/002310_001692.jpg,image,0,Real,0,Real,image_binary_input,image
174,/content/drive/MyDrive/skripsi/dataset_image/real/000442_002380.jpg,image,0,Real,0,Real,image_binary_input,image
175,/content/drive/MyDrive/skripsi/dataset_image/tampered/001927_001165.jpg,image,1,Fake,2,Tampered,image_binary_input,image
176,/content/drive/MyDrive/skripsi/dataset_video/real/000314_Real_000314.mp4,video,0,Real,0,Real,video_test,video
177,/content/drive/MyDrive/skripsi/dataset_image/tampered/002057_002443.jpg,image,1,Fake,2,Tampered,image_binary_input,image
178,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001136_001814.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
179,/content/drive/MyDrive/skripsi/dataset_video/real/004536_Real_004536.mp4,video,0,Real,0,Real,video_test,video
180,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001225_002941.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
181,/content/drive/MyDrive/skripsi/dataset_image/real/002896_000837.jpg,image,0,Real,0,Real,image_binary_input,image
182,/content/drive/MyDrive/skripsi/dataset_image/tampered/001916_000398.jpg,image,1,Fake,2,Tampered,image_binary_input,image
183,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002977_001504.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
184,/content/drive/MyDrive/skripsi/dataset_video/fake/Change_of_style/000172_Change_of_style_000172.mp4,video,1,Fake,1,Fake,video_test,video
185,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000111_TI2V_000111.mp4,video,1,Fake,1,Fake,video_test,video
186,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000245_TI2V_000245.mp4,video,1,Fake,1,Fake,video_test,video
187,/content/drive/MyDrive/skripsi/dataset_image/real/003057_000640.jpg,image,0,Real,0,Real,image_binary_input,image
188,/content/drive/MyDrive/skripsi/dataset_video/real/001414_Real_001414.mp4,video,0,Real,0,Real,video_test,video
189,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000001_Extrapolation_000001.mp4,video,1,Fake,1,Fake,video_test,video
190,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000603_002495.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
191,/content/drive/MyDrive/skripsi/dataset_video/real/000047_Real_000047.mp4,video,0,Real,0,Real,video_test,video
192,/content/drive/MyDrive/skripsi/dataset_video/real/004740_Real_004740.mp4,video,0,Real,0,Real,video_test,video
193,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000176_TI2V_000176.mp4,video,1,Fake,1,Fake,video_test,video
194,/content/drive/MyDrive/skripsi/dataset_video/real/001516_Real_001516.mp4,video,0,Real,0,Real,video_test,video
195,/content/drive/MyDrive/skripsi/dataset_image/tampered/000999_001159.jpg,image,1,Fake,2,Tampered,image_binary_input,image
196,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000018_Interpolation_000018.mp4,video,1,Fake,1,Fake,video_test,video
197,/content/drive/MyDrive/skripsi/dataset_image/tampered/001835_001672.jpg,image,1,Fake,2,Tampered,image_binary_input,image
198,/content/drive/MyDrive/skripsi/dataset_video/fake/Extrapolation/000529_Extrapolation_000529.mp4,video,1,Fake,1,Fake,video_test,video
199,/content/drive/MyDrive/skripsi/dataset_image/real/003138_001400.jpg,image,0,Real,0,Real,image_binary_input,image
200,/content/drive/MyDrive/skripsi/dataset_video/real/001052_Real_001052.mp4,video,0,Real,0,Real,video_test,video
201,/content/drive/MyDrive/skripsi/dataset_image/tampered/002825_003167.jpg,image,1,Fake,2,Tampered,image_binary_input,image
202,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002049_001750.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
203,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001137_001653.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
204,/content/drive/MyDrive/skripsi/dataset_video/fake/Change_of_style/000023_Change_of_style_000023.mp4,video,1,Fake,1,Fake,video_test,video
205,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000152_TI2V_000152.mp4,video,1,Fake,1,Fake,video_test,video
206,/content/drive/MyDrive/skripsi/dataset_image/tampered/002287_003227.jpg,image,1,Fake,2,Tampered,image_binary_input,image
207,/content/drive/MyDrive/skripsi/dataset_image/real/000197_001159.jpg,image,0,Real,0,Real,image_binary_input,image
208,/content/drive/MyDrive/skripsi/dataset_image/real/001944_001463.jpg,image,0,Real,0,Real,image_binary_input,image
209,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000367_Outpainting_000367.mp4,video,1,Fake,1,Fake,video_test,video
210,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002447_002133.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
211,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000316_Outpainting_000316.mp4,video,1,Fake,1,Fake,video_test,video
212,/content/drive/MyDrive/skripsi/dataset_video/real/002368_Real_002368.mp4,video,0,Real,0,Real,video_test,video
213,/content/drive/MyDrive/skripsi/dataset_video/real/003464_Real_003464.mp4,video,0,Real,0,Real,video_test,video
214,/content/drive/MyDrive/skripsi/dataset_image/tampered/001532_000552.jpg,image,1,Fake,2,Tampered,image_binary_input,image
215,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001407_001326.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
216,/content/drive/MyDrive/skripsi/dataset_video/real/000992_Real_000992.mp4,video,0,Real,0,Real,video_test,video
217,/content/drive/MyDrive/skripsi/dataset_image/tampered/001801_002605.jpg,image,1,Fake,2,Tampered,image_binary_input,image
218,/content/drive/MyDrive/skripsi/dataset_video/fake/Inpainting/000353_Inpainting_000353.mp4,video,1,Fake,1,Fake,video_test,video
219,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001859_003213.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
220,/content/drive/MyDrive/skripsi/dataset_video/real/002130_Real_002130.mp4,video,0,Real,0,Real,video_test,video
